2,7.357,1564393674.010641
3,4.231,1564393674.121558
0,6.712,1564393674.248766
1,4.833,1564393674.363304
2,7.372,1564393674.490679
3,4.224,1564393674.601532
0,6.655,1564393674.728595
1,4.883,1564393674.843449
2,7.336,1564393674.970573
3,4.195,1564393675.081445
0,6.662,1564393675.208611
1,4.891,1564393675.323465
2,7.357,1564393675.450631
3,4.217,1564393675.561505
0,6.698,1564393675.688713
1,4.797,1564393675.803191
2,7.386,1564393675.930712
3,4.195,1564393676.041440
0,6.691,1564393676.168690
1,4.790,1564393676.283169
2,7.357,1564393676.410626
3,4.267,1564393676.521645
0,6.719,1564393676.648769
1,4.969,1564393676.763686
2,7.236,1564393676.890269
3,4.224,1564393677.001518
0,6.769,1564393677.128912
1,4.869,1564393677.243391
2,7.243,1564393677.370286
3,4.130,1564393677.481244
0,6.941,1564393677.609410
1,5.242,1564393677.724472
2,6.848,1564393677.849138
3,3.808,1564393677.960304
0,7.228,1564393678.090240
1,5.507,1564393678.205240
2,6.647,1564393678.328552
3,3.722,1564393678.440051
0,7.644,1564393678.571446
1,6.045,1564393678.686799
2,6.024,1564393678.806736
3,3.478,1564393678.919341
0,8.039,1564393679.052590
1,6.526,1564393679.168193
2,5.579,1564393679.285442
3,3.227,1564393679.398608
0,8.519,1564393679.533983
1,6.906,1564393679.649295
2,5.134,1564393679.764148
3,3.155,1564393679.878398
0,8.971,1564393680.015294
1,7.400,1564393680.130730
2,4.762,1564393680.243062
3,3.026,1564393680.358020
1,7.816,1564393680.611935
2,4.381,1564393680.721956
3,3.083,1564393680.838184
0,9.738,1564393680.977517
1,8.340,1564393681.093454
2,3.944,1564393681.200683
3,3.184,1564393681.318475
0,0.050,1564393681.429369
1,9.760,1564393681.577577
2,3.485,1564393681.679347
3,3.299,1564393681.798805
0,11.294,1564393681.942033
1,9.157,1564393682.055824
2,3.141,1564393682.158344
3,3.585,1564393682.279636
0,10.986,1564393682.421135
1,9.659,1564393682.537280
2,2.732,1564393682.637155
3,3.750,1564393682.760113
0,11.373,1564393682.902258
1,10.032,1564393683.018363
2,2.366,1564393683.116091
3,4.059,1564393683.241008
0,12.320,1564393683.385006
1,10.513,1564393683.499756
2,2.015,1564393683.595068
3,4.217,1564393683.721463
0,12.069,1564393683.864275
1,10.907,1564393683.980900
2,1.857,1564393684.074607
3,4.138,1564393684.201232
0,12.241,1564393684.344774
1,11.151,1564393684.461607
2,1.800,1564393684.554440
3,4.066,1564393684.681021
1,11.273,1564393684.941958
2,2.087,1564393685.035270
3,3.872,1564393685.160457
0,12.141,1564393685.304477
2,2.287,1564393685.515851
3,3.693,1564393685.639936
0,12.427,1564393685.785311
1,11.459,1564393685.902498
2,2.603,1564393685.996768
