7.5,3.5,1564393674.01
7.5,3.5,1564393674.12
7.5,3.5,1564393674.25
8.5,4.5,1564393674.36
7.5,3.5,1564393674.49
7.5,3.5,1564393674.6
7.5,3.5,1564393674.73
7.5,3.5,1564393674.84
7.5,3.5,1564393674.97
7.5,3.5,1564393675.08
7.5,3.5,1564393675.21
7.5,3.5,1564393675.32
7.5,3.5,1564393675.45
8.5,4.5,1564393675.56
8.5,4.5,1564393675.69
8.5,4.5,1564393675.8
8.5,4.5,1564393675.93
7.5,3.5,1564393676.04
7.5,3.5,1564393676.17
7.5,3.5,1564393676.28
7.5,3.5,1564393676.41
7.5,3.5,1564393676.52
7.5,3.5,1564393676.65
7.5,3.5,1564393676.76
7.5,3.5,1564393676.89
7.5,3.5,1564393677.0
7.5,3.5,1564393677.13
7.5,3.5,1564393677.24
7.5,3.5,1564393677.37
7.5,3.5,1564393677.48
7.5,3.5,1564393677.61
7.5,3.5,1564393677.72
7.5,3.5,1564393677.85
7.5,3.5,1564393677.96
7.5,3.5,1564393678.09
7.5,3.5,1564393678.21
6.5,3.5,1564393678.33
6.5,3.5,1564393678.44
6.5,3.5,1564393678.57
6.5,3.5,1564393678.69
6.5,3.5,1564393678.81
6.5,3.5,1564393678.92
6.5,3.5,1564393679.05
6.5,3.5,1564393679.17
5.5,3.5,1564393679.29
5.5,3.5,1564393679.4
5.5,3.5,1564393679.53
5.5,3.5,1564393679.65
5.5,3.5,1564393679.76
5.5,3.5,1564393679.88
5.5,3.5,1564393680.02
5.5,3.5,1564393680.02
4.5,3.5,1564393680.36
4.5,3.5,1564393680.61
4.5,3.5,1564393680.61
4.5,3.5,1564393680.72
4.5,3.5,1564393680.84
4.5,3.5,1564393680.98
3.5,3.5,1564393681.58
3.5,3.5,1564393681.68
3.5,3.5,1564393681.8
3.5,3.5,1564393681.94
3.5,3.5,1564393682.06
3.5,3.5,1564393682.16
3.5,3.5,1564393682.28
3.5,3.5,1564393682.42
2.5,4.5,1564393682.54
2.5,4.5,1564393682.64
2.5,4.5,1564393682.76
2.5,3.5,1564393682.9
2.5,3.5,1564393683.02
2.5,3.5,1564393683.12
2.5,3.5,1564393683.24
1.5,4.5,1564393683.39
2.5,3.5,1564393683.5
1.5,4.5,1564393683.6
1.5,4.5,1564393683.72
1.5,4.5,1564393683.86
1.5,4.5,1564393683.98
1.5,4.5,1564393684.07
